,pid,modality,method,embedding_size,accuracy
0,39,kinetic,random,128,0.975
1,6,kinetic,random,128,0.975
2,33,kinetic,random,128,1.0
3,3,kinetic,random,128,1.0
4,18,kinetic,random,128,1.0
5,27,kinetic,random,128,0.975
6,15,kinetic,random,128,0.975
7,24,kinetic,random,128,0.9875
8,21,kinetic,random,128,0.9
9,36,kinetic,random,128,0.9875
10,30,kinetic,random,128,1.0
11,12,kinetic,random,128,0.975
12,9,kinetic,random,128,1.0
13,34,visual,random,128,0.7791666626930237
14,28,visual,random,128,0.7541666626930237
15,7,visual,random,128,0.8041666626930237
16,31,visual,random,128,0.7541666626930237
17,4,visual,random,128,0.8625
18,13,visual,random,128,0.8208333373069763
19,25,visual,random,128,0.7375
20,37,visual,random,128,0.8375
21,1,visual,random,128,0.875
22,19,visual,random,128,0.9
23,40,visual,random,128,0.8125
24,16,visual,random,128,0.825
25,22,visual,random,128,0.825
26,10,visual,random,128,0.7916666626930237
27,39,kinetic,VAE,128,0.9125
28,6,kinetic,VAE,128,0.9
29,33,kinetic,VAE,128,0.975
30,3,kinetic,VAE,128,0.9625
31,18,kinetic,VAE,128,0.975
32,27,kinetic,VAE,128,0.9625
33,15,kinetic,VAE,128,0.975
34,24,kinetic,VAE,128,0.95
35,21,kinetic,VAE,128,0.8125
36,36,kinetic,VAE,128,0.825
37,30,kinetic,VAE,128,0.975
38,12,kinetic,VAE,128,0.9625
39,9,kinetic,VAE,128,0.9541666626930236
40,8,auditory,VAE,128,0.725
41,2,auditory,VAE,128,0.7416666626930237
42,29,auditory,VAE,128,0.85
43,11,auditory,VAE,128,0.7958333373069764
44,23,auditory,VAE,128,0.7333333373069764
45,38,auditory,VAE,128,0.7541666626930237
46,20,auditory,VAE,128,0.8875
47,32,auditory,VAE,128,0.7541666626930237
48,17,auditory,VAE,128,0.7791666626930237
49,26,auditory,VAE,128,0.8541666626930237
50,14,auditory,VAE,128,0.7291666626930237
51,5,auditory,VAE,128,0.775
52,35,auditory,VAE,128,0.7458333373069763
53,8,auditory,random,128,0.7791666626930237
54,2,auditory,random,128,0.6958333373069763
55,29,auditory,random,128,0.7291666626930237
56,11,auditory,random,128,0.8
57,23,auditory,random,128,0.675
58,38,auditory,random,128,0.7041666626930236
59,20,auditory,random,128,0.6583333373069763
60,32,auditory,random,128,0.6916666626930237
61,17,auditory,random,128,0.7625
62,26,auditory,random,128,0.7166666626930237
63,14,auditory,random,128,0.7166666626930237
64,5,auditory,random,128,0.7625
65,35,auditory,random,128,0.7666666626930236
66,8,auditory,contrastive+VAE,128,0.55
67,2,auditory,contrastive+VAE,128,0.6791666626930237
68,29,auditory,contrastive+VAE,128,0.875
69,11,auditory,contrastive+VAE,128,0.8875
70,23,auditory,contrastive+VAE,128,0.9125
71,38,auditory,contrastive+VAE,128,0.9
72,20,auditory,contrastive+VAE,128,0.6875
73,32,auditory,contrastive+VAE,128,0.875
74,17,auditory,contrastive+VAE,128,0.8875
75,26,auditory,contrastive+VAE,128,0.8375
