modality,embed_name,embedding_type,embedding_size,metric,signal,seed
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_item,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_item,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_item,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_item,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,searching,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_item,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,idle,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,1.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_information,42
visual,clip_embeds,contrastive+autoencoder,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,1.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,searching,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_information,42
visual,clip_embeds,VAE,64,1.0,idle,42
visual,clip_embeds,VAE,64,0.0,has_item,42
visual,clip_embeds,VAE,64,0.0,has_item,42
